不可能具包罗检测方法,需要多种途径补充验证
CO、CO2气体含量变化,反映绝缘材料老化或故障
固体绝缘材料状态,决定充油设备寿命
重视绝缘油中CD、CO2含量的变化,因此必须
绝缘老化,产生CO和CO2
电场、热度、湿度及氧的作用,绝缘材料老化
变压器正常运行,CO、CO2含量上升
CO、CO2含量上升,绝缘材料逐渐老化
绝缘材料老化,强度降低
绝缘材料老化,产生沉积物
沉积物产生,绝缘油性能降低
绝缘油性能降低,局部过热
绝缘油性能降低,其它故障
绝缘材料老化,设备故障
绝缘材料老化,设备损坏
CO、CO2含量上升,绝缘老化严重
绝缘老化严重,击穿短路事故
CO、CO2变化幅度大,绝缘老化严重
尽早退出运行,防止短路事故
故障过热,CD产生
故障过热,CO2产生
高能量电弧放电,CO、CO2产生较多
电弧放电能量密度高,产生高速电子流
高速电子流,固体绝缘材料破坏
固体绝缘材料破坏,产生大量气体
大量气体,绝缘进一步降低
大量气体,含有可燃气体
未及时处理,设备重大损坏或爆炸
局部温度较高,绝缘物热分解析出气体
绝缘物热分解,产生CO2
温度升高,CO含量增多
CO含量增多,CO与CO2比值升高
热点,绝缘物老化
热点,产生各种气体
低温热点发展,高温热点形成
高温热点,绝缘物被破坏
绝缘物被破坏,故障扩大
固体绝缘受热分解,CO、CO2浓度偏高
CO、CO2产生,反映绝缘状况
C2H2含量较大,绝缘介质存在局部放电故障
局部放电故障,伴有电弧烧伤与过热
电弧烧伤与过热,C2H2含量增大且占总烃比例大
低能放电,可能发展成高能放电
过热涉及固体绝缘,产生CO和CO2
接触不良,特征气体增加
分接开关接触不良,特征气体增加
连接部分松动,特征气体增加
绝缘不良,特征气体增加
出口短路,变压器需检测
变压器容量增大,电流稳定时间延长
测量电源容量小,电流稳定时间延长
电流稳定时间延长,测量费时
电流稳定时间延长,测量准确度不足
自感效应,影响直流电阻测量
助磁法迫使铁心磁通饱和,降低自感效应
降低自感效应,缩短时间常数
使用大容量蓄电池或稳流源,通大电流测量
高压绕组匝数多,铁心饱和
磁通经气隙闭合,磁路磁阻增加
磁路磁阻增加,绕组电感减小
绕组电感减小,测量电阻时间缩短
磁通势大小相等方向相反,互相抵消
互相抵消,铁心中磁通趋近于零
铁心中磁通趋近于零,电感降到最低限度
电感降到最低限度,缩短测量时间
发现缺陷,对连接点进行紧固处理
发现缺陷,进行跟踪试验
紧固处理,进行跟踪试验
缺陷存在,进行跟踪试验
色谱分析结果C2H2超标,存在放电性故障
补焊未脱气处理,变压器QH变化
直流电阻不平衡率超标,变压器异常
C相电阻值较大,怀疑断股引起
断一股,误差与实际测量误差一致
C相回路不正常,直流电阻差异异常
直流回路分析,确定绕组缺陷可能性小
直流回路分析,有载调压装置极性开关缺陷可能性小
直流回路分析,缺陷可能在切换开关上
螺丝拧断,接触电阻增大
接触电阻增大,直流电阻不正常
三相开关位置不符,设备异常
重新调整组装,设备恢复正常
直流电阻不平衡率大于2％,怀疑分接开关有问题
转动分接开关,复测不平衡率仍然很大
A相直流电阻偏大,好似串入一个电阻
连接不良,电阻产生
电阻产生,A相绕组异常
安装未装紧,引线与套管连接松动
无垫圈,引线与套管连接松动
引线与套管连接松动,停电检查
停电检查,发现连接松动
紧固后恢复正常,恢复正常
直流电压施加,泄漏电流形成
绝缘电阻的变化,电流i的变化
施加直流电压时间变化,绝缘电阻的变化
绝缘电阻值稳定时间差异,大型变压器需要较长时间
判断绕组绝缘受潮,起到一定作用
干燥工艺改进,绝缘电阻绝对值较大
绝缘电阻绝对值较大,吸收比偏小
吸收比偏小,判断困难
测量变压器绝缘电阻时分布电容充电,影响测量结果
绕组间电容重新充电过程不同,影响测量结果
为消除测量方法误差,确定测量顺序
确定测量顺序,便于合理比较结果
绝缘电阻值R60与前一次测试结果相比有明显变化,需进行电力设备预防性试验
兆欧表施加直流电压,交界面上聚集电荷
电荷逐渐聚集,产生吸收现象
电荷逐渐聚集,产生界面极化现象
极化指数反映介质吸收过程,极化指数判断绝缘受潮更准确
测量极化指数,确保变压器质量
温度上升至30℃,吸收比增大
温度超过30℃,吸收比下降
变压器油中含水量,影响因素
含水量增大,绝缘电阻减小
含水量增大,绝缘电阻吸收比降低
变压器油品质,绝缘电阻高低
电压等级升高,绝缘电阻升高
电压等级高,绝缘距离增大
容量增大,等效电容极板面积增大
电阻系数不变,绝缘电阻降低
吸收比或极化指数反映绝缘受潮,用于诊断变压器受潮故障
绝缘电阻绝对值判断,灵敏度低
绝缘电阻绝对值判断,有效性低
测量时试验电压太低,难以暴露缺陷
绝缘电阻值与绕组绝缘的结构尺寸、绝缘材料的品种、绕组温度等有关,难以暴露缺陷
绝缘结构简单,绝缘性能不足
绝缘介质单一,绝缘性能不足
变压器充油循环,绝缘电阻大幅下降
油中气泡未充分逸出,绝缘电阻测量不准确
静置时间不足,绝缘电阻测量不准确
油中含水量,绝缘电阻变化
油中含水量,绝缘电阻受影响
油处理合格,绝缘电阻正常
纸绝缘材料水分未烘干,油中微水超标
水分向油中析出,油含水量受影响
油含水量超标,绝缘电阻受影响
